District Court Judges,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
State and Court,Court Abbreviation,Judge Name,Appointment Year,Appointing President,Partisanship,Birth Year,Age,Years Served,Rule of 80,Eligible for Senior Status,Date Eligibile for Senior Status,Senior Status,Announce Retirement,Confirmation Vote,Chief,Link to Vote,Court Website,Notes
Southern District of New York,NY-S,Kenneth M. Karas,2004,G.W. Bush,R,1964,59,19,78,No,2029,No,No,,No,,,
Southern District of New York,NY-S,Cathy Seibel,2008,G.W. Bush,R,1960,63,15,78,No,2025,No,No,,No,,,
Southern District of New York,NY-S,J. Paul Oetken,2011,Obama,D,1965,58,12,70,No,2033,No,No,,No,,,
Southern District of New York,NY-S,Paul A. Engelmayer,2011,Obama,D,1961,62,12,74,No,2029,No,No,,No,,,
Southern District of New York,NY-S,Edgardo Ramos,2011,Obama,D,1960,63,12,75,No,2028,No,No,,No,,,
Southern District of New York,NY-S,Andrew L. Carter Jr.,2011,Obama,D,1969,54,12,66,No,2037,No,No,,No,,,
Southern District of New York,NY-S,Jesse M. Furman,2012,Obama,D,1972,51,11,62,No,2041,No,No,,No,,,
Southern District of New York,NY-S,Ronnie Abrams,2012,Obama,D,1968,55,11,66,No,2037,No,No,,No,,,
Southern District of New York,NY-S,Lorna G. Schofield,2012,Obama,D,1956,67,11,78,No,2025,No,No,,No,,,
Southern District of New York,NY-S,Katherine Polk Failla,2013,Obama,D,1969,54,10,64,No,2039,No,No,,No,,,
Southern District of New York,NY-S,Analisa Torres,2013,Obama,D,1959,64,10,74,No,2029,No,No,,No,,,
Southern District of New York,NY-S,Nelson S. Román,2013,Obama,D,1960,63,10,73,No,2030,No,No,,No,,,
Southern District of New York,NY-S,Vernon S. Broderick,2013,Obama,D,1963,60,10,70,No,2033,No,No,,No,,,
Southern District of New York,NY-S,Gregory H. Woods,2013,Obama,D,1969,54,10,64,No,2039,No,No,,No,,,
Southern District of New York,NY-S,Valerie E. Caproni,2013,Obama,D,1955,68,10,78,No,2025,No,No,,No,,,
Southern District of New York,NY-S,Mary Kay Vyskocil,2019,Trump,R,1958,65,4,69,No,2034,No,No,,No,,,
Southern District of New York,NY-S,Lewis J. Liman,2019,Trump,R,1960,63,4,67,No,2036,No,No,,No,,,
Southern District of New York,NY-S,Philip M. Halpern,2020,Trump,R,1956,67,3,70,No,2033,No,No,,No,,,
