District Court Judges,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
State and Court,Court Abbreviation,Judge Name,Appointment Year,Appointing President,Partisanship,Birth Year,Age,Years Served,Rule of 80,Eligible for Senior Status,Date Eligibile for Senior Status,Senior Status,Announce Retirement,Confirmation Vote,Chief,Link to Vote,Court Website,Notes
Eastern District of Kentucky,KY-E,Robert E. Wier,2018,Trump,R,1967,56,5,61,No,2042,No,No,,No,,,
Western District of Kentucky,KY-W,Gregory N. Stivers,2014,Obama,D,1960,63,9,72,No,2031,No,No,,Yes,,,
Western District of Kentucky,KY-W,David J. Hale,2014,Obama,D,1967,56,9,65,No,2038,No,No,,No,,,
Western District of Kentucky,KY-W,Claria Horn Boom,2018,Trump,R,1969,54,5,59,No,2044,No,No,,No,,,
Western District of Kentucky,KY-W,Rebecca Grady Jennings,2018,Trump,R,1978,45,5,50,No,2053,No,No,,No,,,
Western District of Kentucky,KY-W,Benjamin Beaton,2020,Trump,R,1981,42,3,45,No,2058,No,No,,No,,,
District of South Carolina,SC,Robert Bryan Harwell,2004,G.W. Bush,R,1959,64,19,83,No,2024,No,No,,Yes,,,
District of South Carolina,SC,David C. Norton,1990,G.H.W. Bush,R,1946,77,33,110,Yes,2011,No,No,,No,,,
District of South Carolina,SC,Richard Gergel,2010,Obama,D,1954,69,13,82,Yes,2021,No,No,,No,,,
District of South Carolina,SC,Timothy M. Cain,2011,Obama,D,1961,62,12,74,No,2029,No,No,,No,,,
District of South Carolina,SC,Mary Geiger Lewis,2012,Obama,D,1958,65,11,76,No,2027,No,No,,No,,,
District of South Carolina,SC,Bruce Howe Hendricks,2014,Obama,D,1957,66,9,75,No,2028,No,No,,No,,,
District of South Carolina,SC,Donald C. Coggins Jr.,2017,Trump,R,1959,64,6,70,No,2033,No,No,,No,,,
District of South Carolina,SC,Sherri Lydon,2019,Trump,R,1962,61,4,65,No,2038,No,No,,No,,,
District of South Carolina,SC,Joseph Dawson III,2020,Trump,R,1970,53,3,56,No,2047,No,No,,No,,,
Eastern District of Tennessee,TN-E,Travis R. McDonough,2015,Obama,D,1972,51,8,59,No,2044,No,No,,Yes,,,
Eastern District of Tennessee,TN-E,Thomas A. Varlan,2003,G.W. Bush,R,1956,67,20,87,Yes,2021,No,No,,No,,,
Eastern District of Tennessee,TN-E,Clifton L. Corker,2019,Trump,R,1967,56,4,60,No,2043,No,No,,No,,,
Eastern District of Tennessee,TN-E,Charles E. Atchley Jr.,2020,Trump,R,1966,57,3,60,No,2043,No,No,,No,,,
Eastern District of Tennessee,TN-E,Katherine A. Crytzer,2020,Trump,R,1984,39,3,42,No,2061,No,No,,No,,,
Middle District of Tennessee,TN-M,Waverly D. Crenshaw Jr.,2016,Obama,D,1956,67,7,74,No,2029,No,No,,Yes,,,
Middle District of Tennessee,TN-M,Aleta Arthur Trauger,1998,Clinton,D,1945,78,25,103,Yes,2010,No,No,,No,,,
Middle District of Tennessee,TN-M,William L. Campbell Jr.,2018,Trump,R,1969,54,5,59,No,2044,No,No,,No,,,
Middle District of Tennessee,TN-M,Eli J. Richardson,2018,Trump,R,1967,56,5,61,No,2042,No,No,,No,,,
Western District of Tennessee,TN-W,Sheryl H. Lipman,2014,Obama,D,1963,60,9,69,No,2034,No,No,,Yes,,,
Western District of Tennessee,TN-W,S. Thomas Anderson,2008,G.W. Bush,R,1953,70,15,85,Yes,2018,No,No,,No,,,
Western District of Tennessee,TN-W,Tommy Parker,2018,Trump,R,1963,60,5,65,No,2038,No,No,,No,,,
Western District of Tennessee,TN-W,Mark Norris,2018,Trump,R,1955,68,5,73,No,2030,No,No,,No,,,
Northern District of Georgia,GA-N,Timothy Batten,2006,G.W. Bush,R,1960,63,17,80,No,2025,No,No,,Yes,,,
Northern District of Georgia,GA-N,Steve C. Jones,2011,Obama,D,1957,66,12,78,No,2025,No,No,,No,,,
Northern District of Georgia,GA-N,Leigh Martin May,2014,Obama,D,1971,52,9,61,No,2042,No,No,,No,,,
Northern District of Georgia,GA-N,Mark Howard Cohen,2014,Obama,D,1955,68,9,77,No,2026,No,No,,No,,,
Northern District of Georgia,GA-N,Eleanor L. Ross,2014,Obama,D,1967,56,9,65,No,2038,No,No,,No,,,
Northern District of Georgia,GA-N,Michael Lawrence Brown,2018,Trump,R,1968,55,5,60,No,2043,No,No,,No,,,
Northern District of Georgia,GA-N,William M. Ray II,2018,Trump,R,1963,60,5,65,No,2038,No,No,,No,,,
Northern District of Georgia,GA-N,J. P. Boulee,2019,Trump,R,1971,52,4,56,No,2047,No,No,,No,,,
Northern District of Georgia,GA-N,Steven D. Grimberg,2019,Trump,R,1974,49,4,53,No,2050,No,No,,No,,,
Northern District of Georgia,GA-N,Victoria Calvert,2022,Biden,D,1981,42,1,43,No,2060,No,No,,No,,,
Northern District of Georgia,GA-N,Sarah Geraghty,2022,Biden,D,1974,49,1,50,No,2053,No,No,,No,,,
Middle District of Georgia,GA-M,Marc T. Treadwell,2010,Obama,D,1955,68,13,81,Yes,2022,No,No,,Yes,,,
Middle District of Georgia,GA-M,Clay D. Land,2001,G.W. Bush,R,1960,63,22,85,No,2025,No,No,,No,,,
Middle District of Georgia,GA-M,Leslie Abrams Gardner,2014,Obama,D,1974,49,9,58,No,2045,No,No,,No,,,
Middle District of Georgia,GA-M,Tripp Self,2018,Trump,R,1968,55,5,60,No,2043,No,No,,No,,,
Southern District of Georgia,GA-S,James Randal Hall,2008,G.W. Bush,R,1958,65,15,80,No,2023,No,No,,Yes,,,
Southern District of Georgia,GA-S,Lisa Godbey Wood,2007,G.W. Bush,R,1963,60,16,76,No,2028,No,No,,No,,,
Southern District of Georgia,GA-S,R. Stan Baker,2018,Trump,R,1977,46,5,51,No,2052,No,No,,No,,,
Northern District of Alabama,AL-N,L. Scott Coogler,2003,G.W. Bush,R,1959,64,20,84,No,2024,No,No,,Yes,,,
Northern District of Alabama,AL-N,R. David Proctor,2003,G.W. Bush,R,1960,63,20,83,No,2025,No,No,,No,,,
Northern District of Alabama,AL-N,Madeline Haikala,2013,Obama,D,1964,59,10,69,No,2034,No,No,,No,,,
Northern District of Alabama,AL-N,Annemarie Carney Axon,2018,Trump,R,1973,50,5,55,No,2048,No,No,,No,,,
Northern District of Alabama,AL-N,Liles C. Burke,2018,Trump,R,1969,54,5,59,No,2044,No,No,,No,,,
Northern District of Alabama,AL-N,Corey L. Maze,2019,Trump,R,1978,45,4,49,No,2054,No,No,,No,,,
Northern District of Alabama,AL-N,Anna M. Manasco,2020,Trump,R,1980,43,3,46,No,2057,No,No,,No,,,
Middle District of Alabama,AL-M,Emily C. Marks,2018,Trump,R,1973,50,5,55,No,2048,No,No,,Yes,,,
Middle District of Alabama,AL-M,R. Austin Huffaker Jr.,2019,Trump,R,1973,50,4,54,No,2049,No,No,,No,,,
Southern District of Alabama,AL-S,Jeff Beaverstock,2018,Trump,R,1968,55,5,60,No,2043,No,No,,Yes,,,
Southern District of Alabama,AL-S,Kristi DuBose,2005,G.W. Bush,R,1964,59,18,77,No,2029,No,No,,No,,,
Southern District of Alabama,AL-S,Terry F. Moorer,2018,Trump,R,1961,62,5,67,No,2036,No,No,,No,,,
Northern District of Florida,FL-N,Mark E. Walker,2012,Obama,D,1967,56,11,67,No,2036,No,No,,Yes,,,
Northern District of Florida,FL-N,M. Casey Rodgers,2003,G.W. Bush,R,1964,59,20,79,No,2029,No,No,,No,,,
Northern District of Florida,FL-N,Allen Winsor,2019,Trump,R,1976,47,4,51,No,2052,No,No,,No,,,
Northern District of Florida,FL-N,T. Kent Wetherell II,2019,Trump,R,1970,53,4,57,No,2046,No,No,,No,,,
Middle District of Florida,FL-M,Timothy J. Corrigan,2002,G.W. Bush,R,1956,67,21,88,Yes,2021,No,Yes,,Yes,,,
Middle District of Florida,FL-M,Steven Douglas Merryday,1992,G.H.W. Bush,R,1950,73,31,104,Yes,2015,No,No,,No,,,
Middle District of Florida,FL-M,Marcia Morales Howard,2007,G.W. Bush,R,1965,58,16,74,No,2030,No,No,,No,,,
Middle District of Florida,FL-M,Mary Stenson Scriven,2008,G.W. Bush,R,1962,61,15,76,No,2027,No,No,,No,,,
Middle District of Florida,FL-M,Sheri Polster Chappell,2013,Obama,D,1962,61,10,71,No,2032,No,No,,No,,,
Middle District of Florida,FL-M,Brian J. Davis,2013,Obama,D,1953,70,10,80,No,2023,No,Yes,,No,,,
Middle District of Florida,FL-M,Paul G. Byron,2014,Obama,D,1959,64,9,73,No,2030,No,No,,No,,,
Middle District of Florida,FL-M,Carlos E. Mendoza,2014,Obama,D,1970,53,9,62,No,2041,No,No,,No,,,
Middle District of Florida,FL-M,William F. Jung,2018,Trump,R,1958,65,5,70,No,2033,No,No,,No,,,
Middle District of Florida,FL-M,Thomas P. Barber,2019,Trump,R,1966,57,4,61,No,2042,No,No,,No,,,
Middle District of Florida,FL-M,Wendy Berger,2019,Trump,R,1968,55,4,59,No,2044,No,No,,No,,,
Middle District of Florida,FL-M,John Badalamenti,2020,Trump,R,1973,50,3,53,No,2050,No,No,,No,,,
Middle District of Florida,FL-M,Kathryn Kimball Mizelle,2020,Trump,R,1987,36,3,39,No,2064,No,No,,No,,,
Southern District of Florida,FL-S,Cecilia Altonaga,76,G.W. Bush,R,1962,61,1947,2008,No,2027,No,No,,Yes,,,
Southern District of Florida,FL-S,Kevin Michael Moore,1992,G.H.W. Bush,R,1951,72,31,103,Yes,2016,No,No,,No,,,
Southern District of Florida,FL-S,Donald M. Middlebrooks,1997,Clinton,D,1946,77,26,103,Yes,2011,No,No,,No,,,
Southern District of Florida,FL-S,William Dimitrouleas,1998,Clinton,D,1951,72,25,97,Yes,2016,No,No,,No,,,
Southern District of Florida,FL-S,Jose E. Martinez,2002,G.W. Bush,R,1941,82,21,103,Yes,2006,No,No,,No,,,
Southern District of Florida,FL-S,Kathleen M. Williams,2011,Obama,D,1956,67,12,79,No,2024,No,No,,No,,,
Southern District of Florida,FL-S,Darrin P. Gayles,2014,Obama,D,1966,57,9,66,No,2037,No,No,,No,,,
Southern District of Florida,FL-S,Beth Bloom,2014,Obama,D,1962,61,9,70,No,2033,No,No,,No,,,
Southern District of Florida,FL-S,Robin L. Rosenberg,2014,Obama,D,1962,61,9,70,No,2033,No,No,,No,,,
Southern District of Florida,FL-S,Roy Altman,2019,Trump,R,1982,41,4,45,No,2058,No,No,,No,,,
Southern District of Florida,FL-S,Rodolfo Ruiz,2019,Trump,R,1979,44,4,48,No,2055,No,No,,No,,,
Southern District of Florida,FL-S,Rodney Smith,2019,Trump,R,1974,49,4,53,No,2050,No,No,,No,,,
Southern District of Florida,FL-S,Raag Singhal,2019,Trump,R,1963,60,4,64,No,2039,No,No,,No,,,
Southern District of Florida,FL-S,Aileen Cannon,2020,Trump,R,1981,42,3,45,No,2058,No,No,,No,,,
Northern District of Mississippi,MS-N,Debra M. Brown,2013,Obama,D,1963,60,10,70,No,2033,No,No,,Yes,,,
Northern District of Mississippi,MS-N,Sharion Aycock,2007,G.W. Bush,R,1955,68,16,84,Yes,2020,No,No,,No,,,
Southern District of Mississippi,MS-S,Daniel P. Jordan III,2006,G.W. Bush,R,1964,59,17,76,No,2029,No,No,,Yes,,,
Southern District of Mississippi,MS-S,Henry Travillion Wingate,1985,Reagan,R,1947,76,38,114,Yes,2012,No,No,,No,,,
Southern District of Mississippi,MS-S,Halil Suleyman Ozerden,2007,G.W. Bush,R,1966,57,16,73,No,2031,No,No,,No,,,
Southern District of Mississippi,MS-S,Carlton W. Reeves,2010,Obama,D,1964,59,13,72,No,2031,No,No,,No,,,
Southern District of Mississippi,MS-S,Kristi Haskins Johnson,2020,Trump,R,1980,43,3,46,No,2057,No,No,,No,,,
Southern District of Mississippi,MS-S,Taylor B. McNeel,2020,Trump,R,1983,40,3,43,No,2060,No,No,,No,,,
Northern District of Indiana,IN-N,Holly A. Brady,2019,Trump,R,1969,54,4,58,No,2045,No,No,,Yes,,,
Northern District of Indiana,IN-N,Philip P. Simon,2003,G.W. Bush,R,1962,61,20,81,No,2027,No,No,,No,,,
Northern District of Indiana,IN-N,Damon R. Leichty,2019,Trump,R,1971,52,4,56,No,2047,No,No,,No,,,
Southern District of Indiana,IN-S,Tanya Walton Pratt,2010,Obama,D,1959,64,13,77,No,2026,No,No,,Yes,,,
Southern District of Indiana,IN-S,Jane Magnus-Stinson,2010,Obama,D,1958,65,13,78,No,2025,No,Yes,,No,,,
Southern District of Indiana,IN-S,James R. Sweeney II,2018,Trump,R,1961,62,5,67,No,2036,No,No,,No,,,
Southern District of Indiana,IN-S,J. P. Hanlon,2018,Trump,R,1970,53,5,58,No,2045,No,No,,No,,,
Southern District of Indiana,IN-S,Matthew P. Brookman,2023,Biden,D,1968,55,0,55,No,2048,No,No,,No,,,
Eastern District of Michigan,MI-E,Sean Cox,2006,G.W. Bush,R,1957,66,17,83,Yes,2022,No,No,,Yes,,,
Eastern District of Michigan,MI-E,Thomas Lamson Ludington,2006,G.W. Bush,R,1953,70,17,87,Yes,2018,No,No,,No,,,
Eastern District of Michigan,MI-E,Stephen Murphy III,2008,G.W. Bush,R,1962,61,15,76,No,2027,No,No,,No,,,
Eastern District of Michigan,MI-E,Mark A. Goldsmith,2010,Obama,D,1952,71,13,84,Yes,2019,No,No,,No,,,
Eastern District of Michigan,MI-E,Terrence Berg,2012,Obama,D,1959,64,11,75,No,2028,No,No,,No,,,
Eastern District of Michigan,MI-E,Matthew F. Leitman,2014,Obama,D,1968,55,9,64,No,2039,No,No,,No,,,
Eastern District of Michigan,MI-E,Judith E. Levy,2014,Obama,D,1958,65,9,74,No,2029,No,No,,No,,,
Eastern District of Michigan,MI-E,Laurie J. Michelson,2014,Obama,D,1967,56,9,65,No,2038,No,No,,No,,,
Eastern District of Michigan,MI-E,Linda Vivienne Parker,2014,Obama,D,1958,65,9,74,No,2029,No,No,,No,,,
Eastern District of Michigan,MI-E,Shalina D. Kumar,2021,Biden,D,1971,52,2,54,No,2049,No,No,,No,,,
Eastern District of Michigan,MI-E,F. Kay Behm,2022,Biden,D,1969,54,1,55,No,2048,No,No,,No,,,
Eastern District of Michigan,MI-E,Jonathan J. C. Grey,2023,Biden,D,1982,41,0,41,No,2062,No,No,,No,,,
Eastern District of Michigan,MI-E,Susan K. DeClercq,2023,Biden,D,1974,49,0,49,No,2054,No,No,,No,,,
Eastern District of Michigan,MI-E,Brandy R. McMillion,2023,Biden,D,1979,44,0,44,No,2059,No,No,,No,,,
Western District of Michigan,MI-W,Hala Y. Jarbou,2020,Trump,R,1971,52,3,55,No,2048,No,No,,Yes,,,
Western District of Michigan,MI-W,Paul Lewis Maloney,2007,G.W. Bush,R,1949,74,16,90,Yes,2014,No,No,,No,,,
Western District of Michigan,MI-W,Robert James Jonker,2007,G.W. Bush,R,1960,63,16,79,No,2025,No,No,,No,,,
Western District of Michigan,MI-W,Jane M. Beckering,2021,Biden,D,1965,58,2,60,No,2043,No,No,,No,,,
Eastern District of Wisconsin,WI-E,Pamela Pepper,2014,Obama,D,1964,59,9,68,No,2035,No,No,,Yes,,,
Eastern District of Wisconsin,WI-E,Joseph Peter Stadtmueller,1987,Reagan,R,1942,81,36,117,Yes,2007,No,No,,No,,,
Eastern District of Wisconsin,WI-E,Lynn Adelman,1997,Clinton,D,1939,84,26,110,Yes,2004,No,No,,No,,,
Eastern District of Wisconsin,WI-E,Brett H. Ludwig,2002,Trump,R,1969,54,21,75,No,2034,No,No,,No,,,
Western District of Wisconsin,WI-W,James D. Peterson,2014,Obama,D,1957,66,9,75,No,2028,No,No,,Yes,,,
Western District of Wisconsin,WI-W,William M. Conley,2010,Obama,D,1956,67,13,80,No,2023,No,No,,No,,,
Northern District of Illinois,IL-N,Rebecca R. Pallmeyer,1998,Clinton,D,1954,69,25,94,Yes,2019,No,Yes,,Yes,,,
Northern District of Illinois,IL-N,Virginia Mary Kendall,2006,G.W. Bush,R,1962,61,17,78,No,2027,No,No,,No,,,
Northern District of Illinois,IL-N,Robert Michael Dow Jr.,2007,G.W. Bush,R,1965,58,16,74,No,2030,No,No,,No,,,
Northern District of Illinois,IL-N,Sharon Johnson Coleman,2010,Obama,D,1960,63,13,76,No,2027,No,No,,No,,,
Northern District of Illinois,IL-N,Edmond E. Chang,2010,Obama,D,1970,53,13,66,No,2037,No,No,,No,,,
Northern District of Illinois,IL-N,John Tharp,2012,Obama,D,1960,63,11,74,No,2029,No,No,,No,,,
Northern District of Illinois,IL-N,Sara L. Ellis,2013,Obama,D,1969,54,10,64,No,2039,No,No,,No,,,
Northern District of Illinois,IL-N,Andrea Wood,2013,Obama,D,1973,50,10,60,No,2043,No,No,,No,,,
Northern District of Illinois,IL-N,Manish S. Shah,2014,Obama,D,1972,51,9,60,No,2043,No,No,,No,,,
Northern District of Illinois,IL-N,Jorge L. Alonso,2014,Obama,D,1966,57,9,66,No,2037,No,No,,No,,,
Northern District of Illinois,IL-N,John Robert Blakey,2014,Obama,D,1965,58,9,67,No,2036,No,No,,No,,,
Northern District of Illinois,IL-N,Martha M. Pacold,2019,Trump,R,1979,44,4,48,No,2055,No,No,,No,,,
Northern District of Illinois,IL-N,Mary M. Rowland,2019,Trump,R,1961,62,4,66,No,2037,No,No,,No,,,
Northern District of Illinois,IL-N,Steven C. Seeger,2019,Trump,R,1971,52,4,56,No,2047,No,No,,No,,,
Northern District of Illinois,IL-N,John F. Kness,2020,Trump,R,1969,54,3,57,No,2046,No,No,,No,,,
Northern District of Illinois,IL-N,Franklin U. Valderrama,2020,Trump,R,1962,61,3,64,No,2039,No,No,,No,,,
Northern District of Illinois,IL-N,Iain D. Johnston,2020,Trump,R,1965,58,3,61,No,2042,No,No,,No,,,
Northern District of Illinois,IL-N,Nancy L. Maldonado,2022,Biden,D,1975,48,1,49,No,2054,No,No,,No,,,
Northern District of Illinois,IL-N,Lindsay C. Jenkins,2023,Biden,D,1977,46,0,46,No,2057,No,No,,No,,,
Northern District of Illinois,IL-N,LaShonda A. Hunt,2023,Biden,D,1970,53,0,53,No,2050,No,No,,No,,,
Northern District of Illinois,IL-N,Jeremy C. Daniel,2023,Biden,D,1978,45,0,45,No,2058,No,No,,No,,,
Northern District of Illinois,IL-N,Jeffrey Cummings,2023,Biden,D,1962,61,0,61,No,2042,No,No,,No,,,
Central District of Illinois,IL-C,Sara Darrow,2011,Obama,D,1970,53,12,65,No,2038,No,No,,Yes,,,
Central District of Illinois,IL-C,James Shadid,2011,Obama,D,1957,66,12,78,No,2025,No,Yes,,No,,,
Central District of Illinois,IL-C,Colin S. Bruce,2013,Obama,D,1965,58,10,68,No,2035,No,No,,No,,,
Central District of Illinois,IL-C,Colleen Lawless,2023,Biden,D,1983,40,0,40,No,2063,No,No,,No,,,
Southern District of Illinois,IL-S,Nancy J. Rosenstengel,2014,Obama,D,1968,55,9,64,No,2039,No,No,,Yes,,,
Southern District of Illinois,IL-S,Staci M. Yandle,2014,Obama,D,1961,62,9,71,No,2032,No,No,,No,,,
Southern District of Illinois,IL-S,Stephen P. McGlynn,2020,Trump,R,1962,61,3,64,No,2039,No,No,,No,,,
Southern District of Illinois,IL-S,David W. Dugan,2020,Trump,R,1960,63,3,66,No,2037,No,No,,No,,,
Eastern District of Louisiana,LA-E,Nannette Jolivette Brown,2011,Obama,D,1963,60,12,72,No,2031,No,No,,Yes,,,
Eastern District of Louisiana,LA-E,Sarah S. Vance,1994,Clinton,D,1950,73,29,102,Yes,2015,No,No,,No,,,
Eastern District of Louisiana,LA-E,Eldon E. Fallon,1995,Clinton,D,1939,84,28,112,Yes,2004,No,Yes,,No,,,
Eastern District of Louisiana,LA-E,Jay C. Zainey,2002,G.W. Bush,R,1951,72,21,93,Yes,2016,No,No,,No,,,
Eastern District of Louisiana,LA-E,Lance Africk,2002,G.W. Bush,R,1951,72,21,93,Yes,2016,No,No,,No,,,
Eastern District of Louisiana,LA-E,Jane Triche Milazzo,2011,Obama,D,1957,66,12,78,No,2025,No,No,,No,,,
Eastern District of Louisiana,LA-E,Susie Morgan,2012,Obama,D,1953,70,11,81,Yes,2022,No,No,,No,,,
Eastern District of Louisiana,LA-E,Barry Ashe,2018,Trump,R,1956,67,5,72,No,2031,No,No,,No,,,
Eastern District of Louisiana,LA-E,Wendy Vitter,2019,Trump,R,1961,62,4,66,No,2037,No,No,,No,,,
Eastern District of Louisiana,LA-E,Greg G. Guidry,2019,Trump,R,1960,63,4,67,No,2036,No,No,,No,,,
Eastern District of Louisiana,LA-E,Darrel J. Papillion,2023,Biden,D,1968,55,0,55,No,2048,No,No,,No,,,
Eastern District of Louisiana,LA-E,Brandon Scott Long,2023,Biden,D,1976,47,0,47,No,2056,No,No,,No,,,
Middle District of Louisiana,LA-M,Shelly D. Dick,2013,Obama,D,1960,63,10,73,No,2030,No,No,,Yes,,,
Middle District of Louisiana,LA-M,Brian A. Jackson,2010,Obama,D,1960,63,13,76,No,2027,No,No,,No,,,
Middle District of Louisiana,LA-M,John W. deGravelles,2014,Obama,D,1949,74,9,83,Yes,2020,No,No,,No,,,
Western District of Louisiana,LA-W,Terry A. Doughty,2018,Trump,R,1959,64,5,69,No,2034,No,No,,Yes,,,
Western District of Louisiana,LA-W,S. Maurice Hicks Jr.,2003,G.W. Bush,R,1952,71,20,91,Yes,2017,No,No,,No,,,
Western District of Louisiana,LA-W,Robert R. Summerhays,2018,Trump,R,1965,58,5,63,No,2040,No,No,,No,,,
Western District of Louisiana,LA-W,James D. Cain Jr.,2019,Trump,R,1964,59,4,63,No,2040,No,No,,No,,,
Western District of Louisiana,LA-W,David C. Joseph,2020,Trump,R,1977,46,3,49,No,2054,No,No,,No,,,
Western District of Louisiana,LA-W,Jerry Edwards Jr.,2023,Biden,D,1979,44,0,44,No,2059,No,No,,No,,,
Eastern District of Arkansas,AR-E,D. Price Marshall Jr.,2010,Obama,D,1963,60,13,73,No,2030,No,No,,Yes,,,
Eastern District of Arkansas,AR-E,Brian S. Miller,2008,G.W. Bush,R,1967,56,15,71,No,2032,No,No,,No,,,
Eastern District of Arkansas,AR-E,Kristine Baker,2012,Obama,D,1971,52,11,63,No,2040,No,No,,No,,,
Eastern District of Arkansas,AR-E,James M. Moody Jr.,2014,Obama,D,1964,59,9,68,No,2035,No,No,,No,,,
Eastern District of Arkansas,AR-E,Lee Rudofsky,2019,Trump,R,1979,44,4,48,No,2055,No,No,,No,,,
Western District of Arkansas,AR-W,Susan O. Hickey,2011,Obama,D,1955,68,12,80,No,2023,No,No,,Yes,,,
Western District of Arkansas,AR-W,Timothy L. Brooks,2014,Obama,D,1964,59,9,68,No,2035,No,No,,No,,,
Eastern District of Missouri,MO-E,Stephen R. Clark,2019,Trump,R,1966,57,4,61,No,2042,No,No,,Yes,,,
Eastern District of Missouri,MO-E,Henry Autrey,2002,G.W. Bush,R,1952,71,21,92,Yes,2017,No,No,,No,,,
Eastern District of Missouri,MO-E,Brian C. Wimes,2012,Obama,D,1966,57,11,68,No,2035,No,No,,No,,,
Eastern District of Missouri,MO-E,Ronnie L. White,2014,Obama,D,1953,70,9,79,No,2024,No,Yes,,No,,,
Eastern District of Missouri,MO-E,Sarah Pitlyk,2019,Trump,R,1977,46,4,50,No,2053,No,No,,No,,,
Eastern District of Missouri,MO-E,Matthew T. Schelp,2020,Trump,R,1970,53,3,56,No,2047,No,No,,No,,,
Western District of Missouri,MO-W,Beth Phillips,2012,Obama,D,1969,54,11,65,No,2038,No,No,,Yes,,,
Western District of Missouri,MO-W,David Gregory Kays,2008,G.W. Bush,R,1962,61,15,76,No,2027,No,No,,No,,,
Western District of Missouri,MO-W,Brian C. Wimes,2012,Obama,D,1966,57,11,68,No,2035,No,No,,No,,,
Western District of Missouri,MO-W,M. Douglas Harpool,2014,Obama,D,1956,67,9,76,No,2027,No,No,,No,,,
Western District of Missouri,MO-W,Stephen R. Bough,2014,Obama,D,1970,53,9,62,No,2041,No,No,,No,,,
Western District of Missouri,MO-W,Roseann A. Ketchmark,2015,Obama,D,1963,60,8,68,No,2035,No,No,,No,,,
Southern District of Iowa,IA-S,Stephanie M. Rose,2012,Obama,D,1972,51,11,62,No,2041,No,No,,Yes,,,
Southern District of Iowa,IA-S,Rebecca Goodgame Ebinger,2016,Obama,D,1975,48,7,55,No,2048,No,No,,No,,,
Southern District of Iowa,IA-S,Stephen H. Locher,2022,Biden,D,1978,45,1,46,No,2057,No,No,,No,,,
Northern District of Iowa,IA-N,Leonard T. Strand,2016,Obama,D,1965,58,7,65,No,2038,No,No,,Yes,,,
Northern District of Iowa,IA-N,C. J. Williams,2018,Trump,R,1963,60,5,65,No,2038,No,No,,No,,,
District of Minnesota,MN,Patrick J. Schiltz,2006,G.W. Bush,R,1960,63,17,80,No,2025,No,No,,Yes,,,
District of Minnesota,MN,Wilhelmina Wright,2016,Obama,D,1964,59,7,66,No,2037,No,Yes,,No,,,
District of Minnesota,MN,Eric C. Tostrud,2018,Trump,R,1965,58,5,63,No,2040,No,No,,No,,,
District of Minnesota,MN,Nancy E. Brasel,2018,Trump,R,1969,54,5,59,No,2044,No,No,,No,,,
District of Minnesota,MN,Katherine M. Menendez,2021,Biden,D,1971,52,2,54,No,2049,No,No,,No,,,
District of Minnesota,MN,Jerry W. Blackwell,2022,Biden,D,1962,61,1,62,No,2041,No,No,,No,,,
District of Minnesota,MN,Jeffrey Bryan,2023,Biden,D,1976,47,0,47,No,2056,No,No,,No,,,
Eastern District of Texas,TX-E,J. Rodney Gilstrap,2011,Obama,D,1957,66,12,78,No,2025,No,No,,Yes,,,
Eastern District of Texas,TX-E,Marcia A. Crone,2003,G.W. Bush,R,1952,71,20,91,Yes,2017,No,No,,No,,,
Eastern District of Texas,TX-E,Amos Mazzant,2014,Obama,D,1965,58,9,67,No,2036,No,No,,No,,,
Eastern District of Texas,TX-E,Robert W. Schroeder III,2014,Obama,D,1966,57,9,66,No,2037,No,No,,No,,,
Eastern District of Texas,TX-E,Jeremy Kernodle,2018,Trump,R,1976,47,5,52,No,2051,No,No,,No,,,
Eastern District of Texas,TX-E,J. Campbell Barker,2019,Trump,R,1980,43,4,47,No,2056,No,No,,No,,,
Eastern District of Texas,TX-E,Michael J. Truncale,2019,Trump,R,1957,66,4,70,No,2033,No,No,,No,,,
Eastern District of Texas,TX-E,Sean D. Jordan,2019,Trump,R,1965,58,4,62,No,2041,No,No,,No,,,
Southern District of Texas,TX-S,Randy Crane,2002,G.W. Bush,R,1965,58,21,79,No,2030,No,No,,Yes,,,
Southern District of Texas,TX-S,Ricardo Hinojosa,1983,Reagan,R,1950,73,40,113,Yes,2015,No,No,,No,,,
Southern District of Texas,TX-S,Lee H. Rosenthal,1992,G.H.W. Bush,R,1952,71,31,102,Yes,2017,No,No,,No,,,
Southern District of Texas,TX-S,Keith P. Ellison,1999,Clinton,D,1950,73,24,97,Yes,2015,No,No,,No,,,
Southern District of Texas,TX-S,Andrew Hanen,2002,G.W. Bush,R,1953,70,21,91,Yes,2018,No,No,,No,,,
Southern District of Texas,TX-S,Diana Saldaña,2011,Obama,D,1971,52,12,64,No,2039,No,No,,No,,,
Southern District of Texas,TX-S,Nelva Gonzales Ramos,2011,Obama,D,1965,58,12,70,No,2033,No,No,,No,,,
Southern District of Texas,TX-S,Marina Garcia Marmolejo,2011,Obama,D,1971,52,12,64,No,2039,No,No,,No,,,
Southern District of Texas,TX-S,Alfred H. Bennett,2015,Obama,D,1965,58,8,66,No,2037,No,No,,No,,,
Southern District of Texas,TX-S,George C. Hanks Jr.,2015,Obama,D,1964,59,8,67,No,2036,No,No,,No,,,
Southern District of Texas,TX-S,Rolando Olvera,2015,Obama,D,1963,60,8,68,No,2035,No,No,,No,,,
